    A       	B
    0.0608   -3.8259
    0.0709   -3.8095
    0.0810   -3.7905
    0.0912   -3.7690
    0.1013   -3.7450
    0.1114   -3.7185
    0.1215   -3.6896
    0.1317   -3.6582
    0.1418   -3.6243
    0.1519   -3.5880
    0.1621   -3.5493
    0.1722   -3.5083
    0.1823   -3.4648
    0.1925   -3.4191
    0.2026   -3.3710
    0.2127   -3.3206
    0.2228   -3.2680
    0.2330   -3.2133
    0.2431   -3.1563
    0.2532   -3.0973
    0.2634   -3.0362
    0.2735   -2.9731
    0.2836   -2.9082
    0.2937   -2.8414
    0.3039   -2.7728
    0.3140   -2.7027
    0.3241   -2.6310
    0.3343   -2.5580
    0.3444   -2.4837
    0.3545   -2.4084
    0.3646   -2.3323
    0.3748   -2.2557
    0.3849   -2.1788
    0.3950   -2.1020
    0.4052   -2.0258
    0.4153   -1.9506
    0.4254   -1.8770
    0.4355   -1.8059
    0.4457   -1.7381
    0.4558   -1.6746
    0.4659   -1.6170
    0.4761   -1.5666
    0.4862   -1.5252
    0.4963   -1.4941
    0.5064   -1.4744
    0.5166   -1.4660
    0.5267   -1.4678
    0.5368   -1.4771
    0.5470   -1.4903
    0.5571   -1.5034
    0.5672   -1.5128
    0.5774   -1.5161
    0.5875   -1.5153
    0.5976   -1.5126
    0.6077   -1.5083
    0.6178   -1.5022
    0.6279   -1.4944
    0.6380   -1.4850
    0.6481   -1.4739
    0.6582   -1.4613
    0.6683   -1.4472
    0.6784   -1.4316
    0.6885   -1.4147
    0.6986   -1.3965
    0.7087   -1.3772
    0.7188   -1.3570
    0.7289   -1.3358
    0.7390   -1.3140
    0.7491   -1.2917
    0.7592   -1.2692
    0.7693   -1.2466
    0.7794   -1.2244
    0.7895   -1.2029
    0.7996   -1.1823
    0.8097   -1.1633
    0.8198   -1.1461
    0.8299   -1.1314
    0.8400   -1.1197
    0.8501   -1.1115
    0.8602   -1.1073
    0.8703   -1.1075
    0.8804   -1.1124
    0.8905   -1.1213
    0.9006   -1.1322
    0.9107   -1.1384
    0.9209   -1.1385
    0.9311   -1.1389
    0.9412   -1.1396
    0.9514   -1.1406
    0.9616   -1.1417
    0.9718   -1.1431
    0.9820   -1.1446
    0.9922   -1.1462
    1.0024   -1.1479
    1.0126   -1.1497
    1.0227   -1.1437
    1.0328   -1.1463
    1.0429   -1.1605
    1.0530   -1.1809
    1.0631   -1.2052
    1.0732   -1.2323
    1.0833   -1.2615
    1.0934   -1.2922
    1.1035   -1.3239
    1.1136   -1.3562
    1.1237   -1.3888
    1.1338   -1.4213
    1.1439   -1.4535
    1.1540   -1.4851
    1.1641   -1.5160
    1.1742   -1.5459
    1.1843   -1.5747
    1.1944   -1.6024
    1.2045   -1.6286
    1.2146   -1.6535
    1.2247   -1.6768
    1.2348   -1.6984
    1.2449   -1.7184
    1.2550   -1.7367
    1.2651   -1.7532
    1.2752   -1.7678
    1.2853   -1.7805
    1.2954   -1.7913
    1.3055   -1.8002
    1.3156   -1.8072
    1.3257   -1.8122
    1.3358   -1.8151
    1.3459   -1.8161
    1.3560   -1.8167
    1.3662   -1.8199
    1.3763   -1.8295
    1.3864   -1.8490
    1.3965   -1.8801
    1.4067   -1.9228
    1.4168   -1.9761
    1.4269   -2.0383
    1.4371   -2.1078
    1.4472   -2.1829
    1.4573   -2.2623
    1.4674   -2.3449
    1.4776   -2.4297
    1.4877   -2.5161
    1.4978   -2.6033
    1.5080   -2.6909
    1.5181   -2.7785
    1.5282   -2.8656
    1.5384   -2.9521
    1.5485   -3.0376
    1.5586   -3.1220
    1.5687   -3.2050
    1.5789   -3.2866
    1.5890   -3.3666
    1.5991   -3.4448
    1.6093   -3.5213
    1.6194   -3.5958
    1.6295   -3.6683
    1.6396   -3.7388
    1.6498   -3.8072
    1.6599   -3.8734
    1.6700   -3.9374
    1.6802   -3.9991
    1.6903   -4.0585
    1.7004   -4.1156
    1.7105   -4.1704
    1.7207   -4.2227
    1.7308   -4.2726
    1.7409   -4.3201
    1.7511   -4.3651
    1.7612   -4.4077
    1.7713   -4.4477
    1.7814   -4.4852
    1.7916   -4.5202
    1.8017   -4.5526
    1.8118   -4.5825
    1.8220   -4.6098
    1.8321   -4.6346
    1.8422   -4.6567
    1.8523   -4.6763
    1.8625   -4.6933
    1.8726   -4.7077
    1.8827   -4.7194
    1.8929   -4.7286
    1.9030   -4.7351
    1.9131   -4.7390
    1.9233   -4.7403
    1.9334   -4.6612
    1.9436   -4.5797
    1.9538   -4.4962
    1.9640   -4.4105
    1.9742   -4.3228
    1.9844   -4.2333
    1.9946   -4.1419
    2.0048   -4.0488
    2.0150   -3.9546
    2.0251   -3.8716

    0.0000   -3.8428
    0.0101   -3.8415
    0.0203   -3.8377
    0.0304   -3.8313
    0.0405   -3.8224
    0.0506   -3.8110
    0.0608   -3.7970
    0.0709   -3.7805
    0.0810   -3.7615
    0.0912   -3.7399
    0.1013   -3.7159
    0.1114   -3.6894
    0.1215   -3.6603
    0.1317   -3.6289
    0.1418   -3.5949
    0.1519   -3.5585
    0.1621   -3.5198
    0.1722   -3.4786
    0.1823   -3.4350
    0.1925   -3.3891
    0.2026   -3.3409
    0.2127   -3.2904
    0.2228   -3.2377
    0.2330   -3.1827
    0.2431   -3.1256
    0.2532   -3.0663
    0.2634   -3.0051
    0.2735   -2.9418
    0.2836   -2.8766
    0.2937   -2.8095
    0.3039   -2.7407
    0.3140   -2.6703
    0.3241   -2.5983
    0.3343   -2.5249
    0.3444   -2.4504
    0.3545   -2.3748
    0.3646   -2.2983
    0.3748   -2.2213
    0.3849   -2.1441
    0.3950   -2.0669
    0.4052   -1.9903
    0.4153   -1.9147
    0.4254   -1.8406
    0.4355   -1.7689
    0.4457   -1.7002
    0.4558   -1.6353
    0.4659   -1.5753
    0.4761   -1.5209
    0.4862   -1.4730
    0.4963   -1.4326
    0.5064   -1.4002
    0.5166   -1.3765
    0.5267   -1.3614
    0.5368   -1.3541
    0.5470   -1.3530
    0.5571   -1.3556
    0.5672   -1.3589
    0.5774   -1.3603
    0.5875   -1.3595
    0.5976   -1.3571
    0.6077   -1.3531
    0.6178   -1.3475
    0.6279   -1.3403
    0.6380   -1.3316
    0.6481   -1.3215
    0.6582   -1.3099
    0.6683   -1.2970
    0.6784   -1.2828
    0.6885   -1.2674
    0.6986   -1.2509
    0.7087   -1.2334
    0.7188   -1.2151
    0.7289   -1.1961
    0.7390   -1.1766
    0.7491   -1.1568
    0.7592   -1.1369
    0.7693   -1.1172
    0.7794   -1.0980
    0.7895   -1.0795
    0.7996   -1.0622
    0.8097   -1.0465
    0.8198   -1.0328
    0.8299   -1.0216
    0.8400   -1.0134
    0.8501   -1.0088
    0.8602   -1.0085
    0.8703   -1.0129
    0.8804   -1.0308
    0.8905   -1.0794
    0.9006   -1.1110
    0.9107   -1.0886
    0.9209   -1.0886
    0.9311   -1.0887
    0.9412   -1.0888
    0.9514   -1.0889
    0.9616   -1.0890
    0.9718   -1.0891
    0.9820   -1.0892
    0.9922   -1.0893
    1.0024   -1.0893
    1.0126   -1.0893
    1.0227   -1.0819
    1.0328   -1.0557
    1.0429   -1.0212
    1.0530   -0.9878
    1.0631   -0.9585
    1.0732   -0.9342
    1.0833   -0.9151
    1.0934   -0.9008
    1.1035   -0.8910
    1.1136   -0.8854
    1.1237   -0.8833
    1.1338   -0.8844
    1.1439   -0.8881
    1.1540   -0.8940
    1.1641   -0.9016
    1.1742   -0.9107
    1.1843   -0.9207
    1.1944   -0.9315
    1.2045   -0.9426
    1.2146   -0.9539
    1.2247   -0.9651
    1.2348   -0.9761
    1.2449   -0.9866
    1.2550   -0.9965
    1.2651   -1.0057
    1.2752   -1.0141
    1.2853   -1.0215
    1.2954   -1.0279
    1.3055   -1.0333
    1.3156   -1.0375
    1.3257   -1.0405
    1.3358   -1.0423
    1.3459   -1.0430
    1.3560   -1.0409
    1.3662   -1.0348
    1.3763   -1.0246
    1.3864   -1.0108
    1.3965   -0.9949
    1.4067   -0.9791
    1.4168   -0.9657
    1.4269   -0.9573
    1.4371   -0.9555
    1.4472   -0.9617
    1.4573   -0.9762
    1.4674   -0.9992
    1.4776   -1.0301
    1.4877   -1.0680
    1.4978   -1.1122
    1.5080   -1.1617
    1.5181   -1.2155
    1.5282   -1.2727
    1.5384   -1.3325
    1.5485   -1.3944
    1.5586   -1.4576
    1.5687   -1.5217
    1.5789   -1.5862
    1.5890   -1.6508
    1.5991   -1.7151
    1.6093   -1.7788
    1.6194   -1.8418
    1.6295   -1.9037
    1.6396   -1.9645
    1.6498   -2.0239
    1.6599   -2.0819
    1.6700   -2.1383
    1.6802   -2.1930
    1.6903   -2.2460
    1.7004   -2.2971
    1.7105   -2.3463
    1.7207   -2.3935
    1.7308   -2.4386
    1.7409   -2.4817
    1.7511   -2.5226
    1.7612   -2.5614
    1.7713   -2.5980
    1.7814   -2.6323
    1.7916   -2.6644
    1.8017   -2.6942
    1.8118   -2.7217
    1.8220   -2.7468
    1.8321   -2.7696
    1.8422   -2.7901
    1.8523   -2.8081
    1.8625   -2.8238
    1.8726   -2.8371
    1.8827   -2.8480
    1.8929   -2.8564
    1.9030   -2.8625
    1.9131   -2.8661
    1.9233   -2.8673
    1.9334   -2.9628
    1.9436   -3.0604
    1.9538   -3.1596
    1.9640   -3.2597
    1.9742   -3.3603
    1.9844   -3.4608
    1.9946   -3.5609
    2.0048   -3.6604
    2.0150   -3.7585
    2.0251   -3.8428

    0.0000   -2.2850
    0.0101   -2.2839
    0.0203   -2.2804
    0.0304   -2.2747
    0.0405   -2.2666
    0.0506   -2.2563
    0.0608   -2.2436
    0.0709   -2.2288
    0.0810   -2.2116
    0.0912   -2.1922
    0.1013   -2.1706
    0.1114   -2.1467
    0.1215   -2.1207
    0.1317   -2.0925
    0.1418   -2.0622
    0.1519   -2.0298
    0.1621   -1.9953
    0.1722   -1.9588
    0.1823   -1.9203
    0.1925   -1.8799
    0.2026   -1.8375
    0.2127   -1.7934
    0.2228   -1.7476
    0.2330   -1.7001
    0.2431   -1.6510
    0.2532   -1.6005
    0.2634   -1.5486
    0.2735   -1.4956
    0.2836   -1.4415
    0.2937   -1.3865
    0.3039   -1.3309
    0.3140   -1.2748
    0.3241   -1.2187
    0.3343   -1.1627
    0.3444   -1.1072
    0.3545   -1.0528
    0.3646   -0.9998
    0.3748   -0.9488
    0.3849   -0.9005
    0.3950   -0.8556
    0.4052   -0.8148
    0.4153   -0.7791
    0.4254   -0.7490
    0.4355   -0.7256
    0.4457   -0.7092
    0.4558   -0.7004
    0.4659   -0.6991
    0.4761   -0.7049
    0.4862   -0.7169
    0.4963   -0.7339
    0.5064   -0.7544
    0.5166   -0.7768
    0.5267   -0.7999
    0.5368   -0.8221
    0.5470   -0.8420
    0.5571   -0.8581
    0.5672   -0.8686
    0.5774   -0.8723
    0.5875   -0.8718
    0.5976   -0.8704
    0.6077   -0.8681
    0.6178   -0.8649
    0.6279   -0.8608
    0.6380   -0.8560
    0.6481   -0.8504
    0.6582   -0.8443
    0.6683   -0.8376
    0.6784   -0.8306
    0.6885   -0.8234
    0.6986   -0.8162
    0.7087   -0.8091
